	content	label
53	진짜 최고에요 딱 제가 찾던 앱... 사용할수 있는 아이템도 많고 사진찍을때 디테일...ㄷㄷ 이 앱 꼭 까세요 ㅜㅜ 안까면 후회함..	1
54	다들 유료사용팝업때문에 불편하다고하는데 무료로쓰면서 그정도는 이해가능 아직무료버젼만 사용하고있지만 쓰면쓸수록 유료버전써보고싶어짐 견적까지 바로 받을수있어서 편한거같음 바로주문이 안되서 아쉬움	1
55	앱 자체가 너무 재밌고 설정도 쉬운데 가구가 나타나는 위치가 랜덤이거나 오류가 나서 제자리에 놓는게 시간이 걸리는 정도이고 복층을 만드는 법을 잘 모르겠는데 계단이 있더라고요?	1
56	정말로 저의집같이 꾸며져서 좋아요! 근데 다운로드 하는 시간이 너무많이 걸려요ㅜㅜ 그점만 빼면 다 좋아요!!! 꼭 한번은 설치 해보세용!!	1
58	무료임에도 불구하고 직접 설계하고 가구까지 설치할 수 있어서 너무 좋은 것 같아요! 앱 개발해주셔서 너무너무 감사합니다 ㅠㅠ	1
59	완죤대박여기세상에있는가구에98%정도있고친절하게설명도해주니까이해가완죤잘돼요그리고3D와2D로즐길수있어요공간도넑거할수있고가구배치하는움직임이완저좋아요	1
64	쓸만합니다 가구나 다양한 인테리어 해보는게 가능했으면 좋겠어요 잠금설정도 편했으면 합니다	1
65	완전 좋은 게임 이네요!재밌어요 광고도 안나오고요! 조금 아쉬운게 있지만... 그래도 추천합니다!!!♡	1
66	어플 완전 좋아요 심즈처럼 가구 배치도 쉽고 평면도도 그리기 쉬워요 감사합니다!!	1
68	유료인 점 빼고^^;; 재미있고 사용도 편해요. 이사 전 공간배치에 도움 많이 됩니다. 이케아 제품이 많이 들어와있네요!	1
70	굉장히 재밌고 좋은앱인데 실제로만들기는3번밖에못해서아쉽네요 그냥사용할수있게해주세요	1
71	정말 편리하고 좋습니다. 회사 이사가는데 미리 용품 배치도 가능하고 강추!	1
72	너무 좋아요~~ 제가 인테리어 같은거에 관심이 엄청 많거든요 구지 결재를 안해도 예쁜 가구들이 많아요	1
75	전부 정해진 가구와 게임으로 되어있었는데 이건 꼭 정해지지 않고 마음대로 꾸밀수 있어서 재미있는 것 같아요 추천 할게요!!!!!!	1
78	다 좋은데 조작이 조금 불편한 것 같아요 프로버전 구매창도 안 뜨게 해주셨으면 좋겠네요	1
79	이건 정말 재밌는 게임입니다 그런데 방을 꾸밀수 있는만큼이 정해져 있어서 아쉽습니다 다른건 다좋습니다	1
81	다 너무 좋습니다. 그런데 랙이 자꾸 걸려요. 천장은 왜 갑자기 없어지는 거에요? 그리고, 천장 없어진 후 부터 걸어가기가 안되는데요?^^좀 고쳐주셨으면 좋겠네용	1
83	제 꿈이 인테리어인데 이 게임을 통해서 꾸미고 그럴수 있어서 정말 재미있는 게임이다.	1
84	아주 재밌있음 근데 초반에는 렉이 안걸림근데 나중에 렉이 쫌 걸려서 조금 불편함	1
86	무료인데도 완전 실용적이고 좋음 초보인데 3d로 보여주공! 강츄!	1
87	재가 취미가 방꾸미긴대 자유도가높고 현실적이애요 강추! ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
88	좋네요 직접 가구배치도 되니까요 에어콘등 집안의 기본가전아이템이 있으면 좋겠어요	1
89	유료서비스가 있는게 다소 아쉽지만 없는게 더 이상할지도 모르겠네요 아마 이거만한 건축 시뮬레이터는 아직 없는것같습니다	1
92	미리 내방가구 배치 해볼수있어 좋아요	1
96	여러가지 예쁜 가구가 많아서 좋고 진짜 같아서 재미있어요!	1
97	무료서비스도 많이 개선되면 좋겟네요	1
98	조금 어렵지만 유용한 어플입니다.	1
99	정말 재미있어요 근데 너무 느려요	1
100	너무 꾸미는게 재밌어요!	1
101	프로로 결제안했는데 이거 방꾸미는 과정 화면 녹화해서 유튜브 업로드해도 되나요?	1
102	최고 좋아요. 무료인데다 퀄리티 높음.	1
103	책상 어디에 배치할지 고민하고 있었는데 도움이 되었습니다. 감사합니다	1
104	재밌게하고 있습니다. 다만 굉장히 버퍼링이 심하네요.	1
106	복층을 못만들긴 하지만 무료 가구가 많아서 인테리어 하기에 피해주지 않아 좋아요!	1
107	최고 ~~이런거 엄청 다른 어플도 써봤는데 이 어플이 사용하기도 편하고 완전 최고임	1
108	기본버전에 색변경까지는 포함해주시면 더 좋겠어요~~	1
109	재미있기도 하고, 꾸미는 것이 한정이 되어 있지 않아서 좋아요	1
113	재밌어요. 가구도 다양하고.. 실제로 도움도 될것 같아요.	1
117	아니 이겜 너무 좋은거아니에요 아니 광고 1도없는게임을 처음이고 집도 예쁜게 꾸미는게많고 너무나게좋고 방해도 안돼고 너무 좋아요 제작자님 고맙습니다.	1
118	다 좋은데 가구 가져오는데 로딩시간이 좀 걸리고 렉이 좀 많이 걸려요..	1
119	오옹 깔아서해봤는데 진짜 재밌어용 건축게임은 이거만한게없는듯...ㅠㅠ	1
120	랙이 좀 걸리고 왼쪽으로 돌리면 오른쪽으로 가거나 이런걸 고치면 좋겠다.	1
122	쉽게 사용 가능하고 무료어플인데 표현폭이 넓어요!	1
125	김도연 쌤 사랑해요	1
126	너무 좋습니다, 제가 친구랑 자취를 해야해서 제 방을 어떻게 꾸밀까, 고민하다가 이 앱을 발견해서 했는데. 너무 좋아요! 친구도 했는데. 좋다고 하더라구요, 이 앱 추천	1
127	무료버전으로도 가구배치 등 시뮬레이션해볼 수 있어서 좋아요~	1
128	재밌고 저희가 곳 이사를 하는데 맘대로 방을 꾸밀수있어서 너무 좋아요	1
130	미용실을어떻게인테리어를할까하다찾게되었습니다제가원하는표현이되어좋습니다	1
131	넘넘넘넘 짱짱 좋은거같아요!!!	1
132	구조 잡기 좋아요. 계속 프리미엄 결재하라고 뜨기는 한데 무시하면 되요	1
133	정말로 재밌어요. 그런데 현질유도가 너무 심한것같아요	1
134	기대안했는데 무료로 자신이 꾸미고 싶은대로 꾸밀수 있어서 좋은거 같아요	1
135	실제 방 재배치를 구상해보는데 잘 활용할수 있는 유용한 앱인듯합니다	1
136	회전이 잘되서 불편하긴 했지만 진짜 시물레이션을 좋은거 같아요!!	1
137	좋아요! 그런데 컨트롤이 조금 어렵네요..	1
138	좋아요 딱 원하던 기능입니다	1
139	재밌네요 근데 방향 조절하는게 어지러운거 빼고는 괜찮았어요	1
141	화면 종료하려다가 버튼을 잘못눌러서 결제가 되어버렸네요 환불부탁드립니다.	1
145	혼자 마음대로 고르고 벽도 그려서 좋고 재미있어요!	1
147	엄청 좋아요 근대 화장대랑 큰 형광등도 있음 좋겠어요👍	1
150	전 인테리어을 좋아하는데 실제로 못해서 서운하는데 이앱이 너무좋아요^^	1
151	재밌고 인테리어할때 유용할듯 !	1
152	집 인테리어를 직접해보니 디자이너가 된거같아요. 특히3D로 보여 주니까 실사같아요.	1
153	정말로 재미있고 자신만의 스타일로 할수 있어서 정말 좋아요 ~♡	1
155	초급자가 쉽게 사용할수있게 잘되어있네요	1
156	기본앱을 더 폭넓게 사용할수있게했으면 좋겠어요	1
158	다 좋은데 방을 만드는데 한 30개정도 만들어주시면 별5개 드리겠습니다	1
159	무료로 사용하기에는 사용법이 까다롭지만 매우 도움이 되었습니다 유용합니다	1
160	다 좋은데 컨트롤하기가 힘들어요ㅠ 그래도 굿굿	1
162	내 생각대로 내 방 꾸미기 .너무 좋아요. 상품 조금 못 자르 지만 그래도 좋아요.	1
164	너무 재미있어요!~^^집 꾸미는거 좋아하는 사람은 좋아할거같아요.	1
166	인생 최고의 어플! 후 비트리듬소울	1
169	아주 좋습니다 딱 보고 방 인테리어 하기 좋아요	1
171	아이방 가구배치하는데.아주 도움이 많이되었어요	1
172	일단 괜찮아요.. 실제처럼 방을 이렇게 볼수있으니까 괜찮네요.	1
173	나쁘지 않네요 꾸민집 3D사진으로 할수있는건 좋은데 한정되서 아쉽네요 그치만 신혼집을 만들수있어서 좋았습니다. 진영오빠 결혼하자♥	1
177	벽 숨기기 하면 빛이 나오는 오류 고쳐주세요 가끔 가구가 사라지는 오류 고쳐주세요 가구 중 자동으로 벽 기울기에 맞춰 방향 바뀌는 것들도 수동으로 방향 맞출 수 있게 해 주세요	1
178	완전 좋아요! 시간 때우기도 좋고 집을 좋아하는 저에게는 안.성.맞.춤! 인 것 같아욧!!!	1
179	자꾸 유료로 해라해서 짜증나지만 좋네요	1
182	가구배치하기 전에 해볼수있어서 너무 좋아요	1
183	앱 퀄리티가 너무 좋아요😄	1
184	진짜 너무 좋아요!!!!!!!!	1
185	이사전 인테리어 시뮬레이션 최고	1
186	제 방이 작아서 사용하기 힘들었는데 룸플래너를 사용하니깐 참고 하면서ㅡ사용하니깐 방이 이뻐요	1
188	재밌어요 아무래도 재가 집 인태리어를 좋아하거든요😊	1
191	존좋임 평소에 이런거 관심있었는데 남매공식 보고 깔았는데 존좋 이상하다는 분들 폰에 문제있는듯ㅋㅎㅋㅎ	1
192	리모델링전 미리보기하려고 하는데 너무좋아요	1
195	여기에 악플이 있던데요 전 괜찮은데 그사람은 왜그럴까요 힘네세요 게임도재밌어요	1
198	이거 완전 대박이에요!!! 다른건은 코인모아야 돼고 그런데 이건 진짜 좋아요	1
200	다양한 사례를 기반으로 집에 적용 가능	1
201	너무 않깔여요. 그런데 재밌긴 해요	1
203	진짜 좋아요! 꼭! 다 까세요! 이거보고도 않깔면~~ 내가 우주 끝까지 따라감	1
204	아가방 꾸미는데 진짜 도움이 많이 되었습니당!	1
209	실제 방꾸미기전 많이 도움됐음	1
210	이앱은인테리어할때좋은것같아요	1
212	제가이사를가야하는데이걸로미리할수있어써좋아요👍	1
214	로그인 하는것도 없고 좋은것 같아요	1
215	뭐 좋긴하네요 근데 현질창이 자꾸 떠서 허락받고 현질하니깐 뭔가 좀더 좋아진거같구여! 추천해요 광고도 안나오고 가족과 새집을 쌌는데 제방을 여기랑 아주 똑같게 꾸며서 기분이 좋고 2층집이라서 2층도 여기서 보고 꾸미면 좋을거같습니당~!^^강추강추~!^^내방 좋앙~!^^ 우리 언니 오빠 동생 엄마 아빠도 다 쓰고 계세요	1
220	앱자체는 최고!! 영구버전없는건 단점	1
221	최고는드릴수업내여반데로해야돼요!!	1
222	너무잘썼음. 이사갈때 도움엄청됨.	1
224	발열이 심하지만 좋습니다.	1
227	ㅠㅠ잘못결제됏어요 환불해주세요... 구독취소바로했습니다	1
228	너ㅓㅓㅓㅓ무 좋아요 방 꾸미기 전에 먼저 이앱을 쓰면 찐짜! 좋아요	1
229	멀쩡한 어플인데 늙은이들이 와서 별점을 떨어트리네ㅋㅋㅋ 늙어서 이런거 하나 못다루는걸 왜 어플 탓을 하는지 참.. 젊은 분들은 리뷰에 속지말고 깔아보세요 늙으면 노인정이나 갈것이지	1
232	제가딱 심플한 스타일좋아하는데 너무좋아요!!	1
234	이게 무료인줄 알고 깔았는데 유료더라구요.. 갑자기 19000 원이 결제됬다고 뜨더라고요 다른건 다 좋은데 유료 말고 무료로 바꿔주세요..	1
236	가구배치어플중가장좋음	1
237	이사가는데 큰도움 될꺼에요.진짜 ㄹㅇ 캡쨩!!!!!!!!♡♡♡♡	1
238	정말이거할정도로좋아요👍	1
240	제가 해봤던 집만들기중 최고에요!	1
241	나쁘지는 않는데 가구만 더 추가해주세요 :)	1
245	조아여 넘 조은데 유료해야 많은걸 할수있어서 슬퓸 ㅠ	1
246	렌더링해주는게일품..	1
248	가상으로 집을 꾸며볼수있어서 좋아요💜💜	1
249	너무좋아요	1
251	돈내는것만빼면 진짜 짱짱짱 좋음	1
253	진짜 좋은맵 같네요👍🏻	1
254	학교수행평가로 사용해봤는데 지금도 쓰고있어요	1
256	이사 준비에 너무 유용	1
258	좋으나 유료인게 좀 아숩	1
259	이거 매장 가서 사는 가격이죠?? 이거 지금 막 사가지구 엄마한테 문자 가서 디지는거 아니져?... 아 진짜 ㅠㅠㅠ 제발 아니길..밑에 댓 보니까..아닌 거 같긴 한데.. 아니라고 말해줘요 ㅠㅠㅠㅠ..	1
260	이사가는데 방 미리 설계하기 좋네욤	1
262	너무 좋아요 진짜 제 스타잃ㅎ	1
263	생각보다 좋아요 집꾸는걸 좋아해서 깔아봤는데 너	1
264	구매유도만 안하면 무척 유용함	1
266	제가 꾸미는걸좋아해서제미있어요	1
267	꾸민 방을 현실적이게 만들어주고 짱이에요	1
268	돈이 없어서 유료를 사지는 못하고있는데 꽤 괜찮아요!	1
271	이사 전 가구배치때문에 고민이었는데 해결!	1
274	취로 흐는데 존잼ㅋ 좀 비싸긴하다 가겨 좀만 낮아졌음 좋겠음	1
276	너무 집꾸밀떼 좋을것 갓에요•ɞ•	1
277	좋네 잼 있을꺼 같다ㅏㅏㅏ	1
279	우와우 이건 별 백게에요 다섯게 아닙니다 10000개입니드아	1
280	아 이거좋음ㅋㅋ진짜 굿	1
281	집중과 제밌어요	1
282	너무 너무 줗아요💕💕	1
283	모든게 좋은데 PRO버전 없애주세요	1
284	재미있고 유익함	1
286	완전재밌어요!!대박어플	1
288	이사하기전 인테리어에 딱 좋아요~	1
292	정말 좋은 앱이에요	1
295	굿 너무좋아요	1
296	너무좋아요~♡♡	1
300	사용하기 좋네요.	1
302	실제 꾸미는거 같아요.	1
303	너무 좋아요.	1
304	실사 확인가능	1
305	정말로 좋은 입니다	1
306	재밌어서 시간 가는 줄 모르겠네요	1
308	와 정말 최고	1
310	잘 이용하고 있습니다	1
311	건축에 대한 꿈이있으신 분들에게 강추!합니다	1
312	너무 꺙 좋야	1
313	너무 좋아요	1
316	편하고2d.3d편해여	1
317	너무 좋아요	1
318	좋은거 같아요!!	1
319	아주만족합니다	1
323	너무좋아요_^^	1
325	느낌이 옵니다	1
326	제가 딱 원하는 거에요!!!!	1
329	좋아요 너무	1
330	짱이네요 대박입니다	1
333	진짜 좋아요	1
337	오지원이 말순이라고 놀려요	1
338	굿! 최고!!	1
340	넘 좋아요!	1
343	넘 좋아요	1
345	좋아요?!!	1
346	섻스섹스 뽑삐턺	1
347	최고네요	1
348	ㅐ노ㅓ량ㅇ 누어유야엉아ㅓ어어어우우랴아ㅏ응 우여ㅑ어웅	1
349	좋아요 굿	1
351	🤔	1
353	Very good thank you!!!	1
354	굿이다	1
355	좋아요	1
356	굿	1
358	좋아요	1
359	좋습니다.	1
361	좋습니다!	1
362	좋아요.	1
363	너무 좋습니다	1
364	좋아요	1
365	좋네요	1
366	유용함	1
367	재밌다	1
368	재미있어요	1
369	좋음	1
370	최고입니다	1
371	bbb	1
372	국짭	1
373	천재	1
374	재밌다	1
375	구웃	1
376	좋네요	1
377	재미있어요!😊	1
378	완전편리	1
379	재밌었어요	1
380	좋아요	1
381	굿	1
382	Good	1
383	good	1
385	쌩유~	1
386	굿	1
387	재밌어요!	1
391	좋아요	1
392	좋아요	1
393	좋아요	1
394	재미있어요	1
395	좋ㄴㅔ요	1
396	재미있어요	1
397	재미있음	1
398	추천	1
399	조아요	1
400	Good	1
401	재밌네요	1
402	좋아요	1
403	굿	1
404	좋아요오오오오오오오	1
405	괜찮아요 😊 😊	1
406	너무조아요	1
407	개좋음	1
409	재밌다	1
410	좋아요	1
411	굿	1
412	나름 만족중	1
413	굿	1
414	Ok	1
415	good	1
416	좋아요	1
417	추천추천	1
418	좋아요	1
419	재밌네	1
420	굿~~!!!	1
422	좋아요	1
423	좋아요	1
424	좋아요	1
425	괜찮음	1
426	꽤 좋음	1
427	최고	1
428	👍	1
429	좋아요	1
430	굿	1
431	Need more free pictures	1
432	재밌네용	1
433	남 좋아여	1
435	재미있어요	1
436	굿!!	1
437	좋아요	1
438	재밌어요	1
440	good	1
441	짱짱좋아여	1
442	굿	1
444	I relly appreciate this app!!!! ♡♡♡ I love it ♡♡♡♡♡ :):)	1
